"[""Chef's Case Entr\xc3\xa9es, Sides, Salads and Chef's Plates*""]",Regular prices vary,25% off
['Organic Seedless Grapes*'],Regular $3.49/lb,$1.99/lb
['New York Strip Steak*'],Regular $13.99/lb,$9.99/lb
['Pizza by the Slice*'],Regular 2 for $7,2 for $5
['Rotisserie Chicken*'],Regular $7.99-$9.99 ea,$2 off
['Fresh Coho Salmon Fillets*'],Regular $14.99/lb,$10.99/lb
['Sliced In-House Deli Meats and Cheeses*'],Regular prices vary,20% off
['Organic Blackberries*'],Regular $3.99 ea,2 for $5
['Organic Fuji Apples*'],Regular $2.49/lb,$1.49/lb
['Organic Yellow Peaches and Yellow Nectarines*'],Regular $3.99/lb,$2.99/lb
['Chocolate and Cacao Bars*'],Regular $3.39 ea,2 for $4
['Bone-In Pork Loin Chops*'],Regular $6.99/lb,$4.49/lb
['Moon Drop Grapes*'],Regular $2.99/lb,$2.49/lb
"['Organic Black, Brown and Green Figs*']",Regular $7.99/lb,$3.99/lb
"['Fresh Scallops, 10/20 ct*']",Regular $24.99/lb,$15.99/lb
['Sparkling Probiotic Drinks and Kombucha*'],Regular $2.99-3.49 ea,2 for $4
['Laundry Detergent*'],Regular $14.99-19.99 ea,$10.99 ea
['Superfoods*'],Regular prices vary,40% off
['16-Pack Bars*'],Regular $20-29 ea,$13.49 ea
['Breakfast Sausage Links*'],Regular $4.99 ea,"Buy One, Get One Free"
